,onset,offset,label,onset_sample,offset_sample,length,corrcoeff
155,110.6728,110.678633,1,3320184,3320358,174,0.3967107671370747
156,110.729933,110.786433,1,3321897,3323592,1695,0.7377039399057103
157,110.7879,110.808233,1,3323637,3324246,609,0.6338651329137207
158,110.813067,110.836767,1,3324392,3325103,711,0.7215647598562647
159,110.873633,110.903467,1,3326208,3327104,896,0.5134811629225472
160,110.9103,110.9916,1,3327309,3329748,2439,0.7184121443621098
161,110.9949,111.009767,1,3329847,3330293,446,0.39026070916232586
162,111.2858,111.452033,1,3338574,3343560,4986,0.8149543424109262
163,111.459833,111.523267,1,3343794,3345698,1904,0.7290893820791605
164,112.034767,112.039067,1,3361043,3361172,129,0.1321011187022053
165,112.040167,112.096367,1,3361205,3362891,1686,0.7848281254303907
166,112.103067,112.1426,1,3363092,3364278,1186,0.8796638617790853
167,112.173333,112.177633,1,3365199,3365328,129,-0.08601773116408974
168,112.178933,112.184767,1,3365367,3365543,176,0.2112419843812177
169,112.1918,112.229667,1,3365754,3366890,1136,0.713505284216987
170,112.2311,112.244633,1,3366933,3367338,405,0.6643276593661015
171,112.246233,112.268467,1,3367386,3368054,668,0.5531460036914305
172,112.295967,112.2993,1,3368879,3368979,100,
173,112.325667,112.335933,1,3369770,3370077,307,-0.0012569556839488719
174,112.6678,112.684367,1,3380034,3380531,497,0.7301637507888766
175,112.6854,112.773467,1,3380562,3383204,2642,0.7759000146214483
176,112.7792,112.791467,1,3383376,3383744,368,0.6971888922361326
177,112.792733,112.799433,1,3383781,3383982,201,0.4005014554986011
178,112.811667,112.8944,1,3384350,3386832,2482,0.8364658049440381
179,112.9032,112.907733,1,3387096,3387231,135,0.10696296317523803
180,113.311333,113.3195,1,3399339,3399585,246,0.23287735134406054
181,113.3249,113.328167,1,3399747,3399845,98,
182,113.3296,113.3337,1,3399888,3400011,123,
183,113.3398,113.346633,1,3400194,3400398,204,-0.06974505745494258
184,113.572567,113.6036,1,3407177,3408108,931,0.38004309381896795
185,113.605567,113.6268,1,3408167,3408804,637,0.8379725290006126
186,113.65,113.706633,1,3409500,3411198,1698,0.802990001070712
187,113.7079,113.751467,1,3411237,3412544,1307,0.814731232480162
188,113.768267,113.771267,1,3413048,3413138,90,0.7855724869378252
189,113.773067,113.802033,1,3413192,3414060,868,0.6784068826342512
190,113.813167,113.816267,1,3414395,3414488,93,
191,113.818667,113.8225,1,3414560,3414675,115,0.41449589201146153
192,113.827933,113.8332,1,3414837,3414996,159,
193,113.846167,113.856333,1,3415385,3415689,304,-0.03218393582153146
194,113.8588,113.8659,1,3415764,3415977,213,0.3969498706944283
195,113.867,113.8732,1,3416010,3416196,186,0.1289737684130903
196,114.032933,114.1456,1,3420987,3424368,3381,0.8706995047902145
197,114.5121,114.528567,1,3435363,3435857,494,0.060640572131794405
198,114.5296,114.613133,1,3435888,3438393,2505,0.8147070902276488
199,114.6391,114.653133,1,3439173,3439593,420,0.26357710016023095
200,114.6542,114.668567,1,3439626,3440057,431,0.11400211186444965
201,114.6783,114.682367,1,3440349,3440471,122,
202,114.748967,114.7535,1,3442469,3442605,136,0.22225267493218426
203,114.7644,114.788033,1,3442932,3443640,708,0.4862719472439393
204,114.789433,114.847533,1,3443682,3445425,1743,0.10123964050078957
205,114.8619,114.972767,1,3445857,3449183,3326,0.746750236772217
206,115.1277,115.1387,1,3453831,3454161,330,0.6819094082993699
207,115.143067,115.1591,1,3454292,3454773,481,0.07891985932427978
208,115.178,115.244433,1,3455340,3457332,1992,0.08477937108129237
209,115.253733,115.421567,1,3457611,3462647,5036,0.7545223406477849
210,115.4284,115.4483,1,3462852,3463449,597,0.8546349727263821
211,115.4588,115.4786,1,3463764,3464358,594,0.7867177832891824
212,115.489967,115.5023,1,3464699,3465069,370,0.3521920377008983
213,115.657367,115.723333,1,3469721,3471699,1978,0.6068499924968047
214,115.732267,115.7444,1,3471968,3472332,364,0.13669920999521853
215,115.941633,115.989,1,3478248,3479670,1422,0.7471229721997733
216,115.990067,115.993067,1,3479702,3479792,90,
217,115.9945,115.9999,1,3479835,3479997,162,-0.3357397041705707
218,116.0017,116.0389,1,3480051,3481167,1116,0.6230797658078076
219,116.048633,116.062333,1,3481458,3481869,411,0.14646705956952444
220,116.0682,116.072967,1,3482046,3482189,143,
221,116.074167,116.095533,1,3482225,3482865,640,0.0586316241020916
222,116.0975,116.100633,1,3482925,3483018,93,
223,116.102667,116.1073,1,3483080,3483219,139,
224,116.258467,116.3083,1,3487754,3489249,1495,0.5533908652317998
225,116.3145,116.3316,1,3489435,3489948,513,-0.08494292296753413
226,116.516567,116.528967,1,3495497,3495869,372,0.5661298867350207
227,116.539167,116.5912,1,3496175,3497736,1561,0.7670906594764912
228,116.593933,116.621233,1,3497817,3498636,819,0.6342017524039886
229,116.638733,116.763633,1,3499161,3502908,3747,0.6740785727539012
230,116.7675,116.843667,1,3503025,3505310,2285,0.6693196246563302
231,116.8477,116.8963,1,3505431,3506889,1458,0.7224622025909638
232,116.9033,116.906733,1,3507099,3507201,102,0.20835648146579577
233,116.9113,116.9457,1,3507339,3508371,1032,0.007641642281448453
234,116.953267,116.964933,1,3508598,3508947,349,0.17220751963692008
235,116.972333,116.976167,1,3509169,3509285,116,
236,117.019333,117.0908,1,3510579,3512724,2145,0.14144470659664887
237,117.092167,117.0959,1,3512765,3512877,112,0.5385395701609523
238,117.097033,117.102067,1,3512910,3513062,152,0.4995794519217476
239,117.121033,117.270567,1,3513630,3518117,4487,0.32747800065805555
240,117.2756,117.285633,1,3518268,3518568,300,0.15945122037782172
241,117.288967,117.316533,1,3518669,3519495,826,0.36410848048367356
242,117.6983,117.709067,1,3530949,3531272,323,0.5144342125000818
243,117.7124,117.729967,1,3531372,3531899,527,0.2700678763838539
244,117.738467,117.788467,1,3532154,3533654,1500,0.4816014357801298
245,117.8042,117.8292,1,3534126,3534876,750,0.4403641492989357
246,117.8501,117.869433,1,3535503,3536082,579,0.4269080546236517
247,117.870533,117.890833,1,3536115,3536724,609,0.490861044867435
248,117.901233,117.912533,1,3537036,3537375,339,0.3775770109537995
249,117.927233,117.946,1,3537816,3538380,564,0.4997189312492347
250,117.948767,117.999367,1,3538463,3539981,1518,0.12798954419761094
251,118.000633,118.012133,1,3540018,3540363,345,-0.009948469661980978
252,118.038567,118.153233,1,3541157,3544596,3439,0.7856123548222483
253,118.159233,118.180733,1,3544776,3545421,645,0.4554969636791472
254,118.1904,118.210633,1,3545712,3546318,606,0.020420481143811064
255,118.221733,118.2262,1,3546651,3546786,135,-0.030780841082908465
256,118.238967,118.247267,1,3547169,3547418,249,-0.1402870293255384
257,118.274,118.2968,1,3548220,3548904,684,0.5358867428914788
258,118.298133,118.3103,1,3548943,3549309,366,0.31080712791883175
259,118.312933,118.346733,1,3549387,3550401,1014,0.020700059050503435
260,118.349267,118.353233,1,3550478,3550596,118,-0.37744870925129503
261,118.3543,118.358767,1,3550629,3550763,134,0.24466261471324105
262,118.372867,118.377067,1,3551186,3551312,126,
263,118.406033,118.412767,1,3552180,3552383,203,0.33684441011405064
264,118.418333,118.4341,1,3552549,3553023,474,0.5686585100874272
265,118.435133,118.515867,1,3553053,3555476,2423,0.5387543934541971
266,118.518133,118.5505,1,3555543,3556515,972,0.6534810129792386
267,118.554367,118.567667,1,3556631,3557030,399,0.5435423471627197
268,118.585467,118.616133,1,3557564,3558483,919,0.4854581148910128
269,118.617167,118.670667,1,3558515,3560120,1605,0.4425180419279085
